Question,Answer
"What is meant by 'Container orchestration automates the deployment, management, scaling, and ' in context of CONTAINER ORCHESTRATION?","Container orchestration automates the deployment, management, scaling, and"
What is meant by 'Container orchestration can be used in any environment where you use ' in context of CONTAINER ORCHESTRATION?,Container orchestration can be used in any environment where you use
What is meant by 'Docker Swarm provides the cluster management and orchestration features of Docker Engine ' in context of DOCKER SWARM KEY CONCEPTS?,Docker Swarm provides the cluster management and orchestration features of Docker Engine
What is meant by 'Nodes - A node is an instance of the Docker engine participating in the swarm. You can also ' in context of DOCKER SWARM KEY CONCEPTS?,Nodes - A node is an instance of the Docker engine participating in the swarm. You can also
"What is meant by 'Manager Node - To deploy your application to a swarm, you submit a service definition ' in context of DOCKER SWARM KEY CONCEPTS?","Manager Node - To deploy your application to a swarm, you submit a service definition"
What is meant by 'Worker Nodes - Receive and execute tasks dispatched from manager nodes. An agent ' in context of DOCKER SWARM KEY CONCEPTS?,Worker Nodes - Receive and execute tasks dispatched from manager nodes. An agent
What is meant by 'Task - It is the atomic scheduling unit of swarm. Manager nodes assign tasks to worker ' in context of DOCKER SWARM KEY CONCEPTS?,Task - It is the atomic scheduling unit of swarm. Manager nodes assign tasks to worker
What is meant by 'Service - the definition of the tasks to execute on the manager or worker nodes. Here is ' in context of DOCKER SWARM KEY CONCEPTS?,Service - the definition of the tasks to execute on the manager or worker nodes. Here is
What is meant by 'Replicated services model - the swarm manager distributes a specific number of ' in context of DOCKER SWARM KEY CONCEPTS?,Replicated services model - the swarm manager distributes a specific number of
What is meant by 'Global services model - the swarm runs one task for the service on every available ' in context of DOCKER SWARM KEY CONCEPTS?,Global services model - the swarm runs one task for the service on every available
What is meant by 'docker swarm init --advertise-addr <MANAGER-IP>' in context of DOCKER SWARM KEY CONCEPTS?,docker swarm init --advertise-addr <MANAGER-IP>
What is meant by 'Join a worker node - docker swarm join --token  SWMTKN-1 ' in context of DOCKER SWARM KEY CONCEPTS?,Join a worker node - docker swarm join --token  SWMTKN-1
What is meant by 'docker service create --replicas 1 --name helloworld alpine ping docker.com' in context of DOCKER SWARM KEY CONCEPTS?,docker service create --replicas 1 --name helloworld alpine ping docker.com
"What is meant by '“Kubernetes (k8s) is an open source platform for automating deployment, scaling and ' in context of WHAT IS KUBERNETES??","“Kubernetes (k8s) is an open source platform for automating deployment, scaling and"
What is meant by 'Project that was created by Google as an open source container orchestration ' in context of WHAT IS KUBERNETES??,Project that was created by Google as an open source container orchestration
What is Kubernetes project?,• Current Kubernetes stable version – 1.29
What is meant by 'Horizontal scaling' in context of IT’S CAPABLE OF…?,Horizontal scaling
What is meant by 'Load distribution' in context of IT’S CAPABLE OF…?,Load distribution
What is meant by 'Service discovery' in context of IT’S CAPABLE OF…?,Service discovery
What is meant by 'Health monitoring' in context of IT’S CAPABLE OF…?,Health monitoring
"What is meant by 'Deploying new versions, rollbacks' in context of IT’S CAPABLE OF…?","Deploying new versions, rollbacks"
What is meant by 'Master [Control Plane]  ' in context of HIGH LEVEL ARCHITECTURE?,Master [Control Plane]
What is meant by 'coordinates all activities in the cluster ' in context of HIGH LEVEL ARCHITECTURE?,coordinates all activities in the cluster
What is meant by 'Nodes' in context of HIGH LEVEL ARCHITECTURE?,Nodes:
What is meant by 'virtual or physical machines ' in context of HIGH LEVEL ARCHITECTURE?,virtual or physical machines
What is meant by 'actual workers ' in context of HIGH LEVEL ARCHITECTURE?,actual workers
What is meant by 'runs processes' in context of HIGH LEVEL ARCHITECTURE?,runs processes:
What is meant by 'kubelet  ' in context of HIGH LEVEL ARCHITECTURE?,kubelet
What is meant by 'kube-proxy' in context of HIGH LEVEL ARCHITECTURE?,kube-proxy
What is meant by 'Pods ' in context of Eg docker container?,Pods
What is meant by 'the way of running containers in kubernetes ' in context of Eg docker container?,the way of running containers in kubernetes
What is meant by 'basic deployable and scaling unit ' in context of Eg docker container?,basic deployable and scaling unit
What is meant by 'defines one or more containers ' in context of Eg docker container?,defines one or more containers
What is meant by 'containers are co-located on a node ' in context of Eg docker container?,containers are co-located on a node
What is meant by 'flat network structure ' in context of Eg docker container?,flat network structure
What is meant by 'Nodes' in context of Eg docker container?,Nodes:
What is meant by 'physical worker machines ' in context of Eg docker container?,physical worker machines
What is meant by 'can run multiple pods ' in context of Eg docker container?,can run multiple pods
What is meant by 'pods running within single node don’t know about each other' in context of Eg docker container?,pods running within single node don’t know about each other
What is meant by 'Minikube' in context of Eg docker container?,Minikube:
What is meant by 'single node cluster ' in context of Eg docker container?,single node cluster
What is meant by 'running in a VM ' in context of Eg docker container?,running in a VM
"What is meant by 'supports linux, windows and macOS' in context of Eg docker container?","supports linux, windows and macOS"
What is meant by 'Docker Desktop with built-in ' in context of RUNNING THINGS LOCALLY?,Docker Desktop with built-in
What is meant by 'single node cluster ' in context of RUNNING THINGS LOCALLY?,single node cluster
What is meant by 'running in a VM ' in context of RUNNING THINGS LOCALLY?,running in a VM
What is meant by 'windows and macOS ' in context of RUNNING THINGS LOCALLY?,windows and macOS
What is meant by 'drag & drop installation ' in context of RUNNING THINGS LOCALLY?,drag & drop installation
What is meant by 'bound to specific kubernetes ' in context of RUNNING THINGS LOCALLY?,bound to specific kubernetes
What is meant by 'kind' in context of RUNNING THINGS LOCALLY?,kind:
What is Podman installed in your local?,computer https://kubernetes.io/docs/tasks/tools/
What is meant by 'Create resource from file - kubectl create -f resource_file.yml ' in context of MANAGING CLUSTER RESOURCES?,Create resource from file - kubectl create -f resource_file.yml
What is meant by 'Change existing (or create) resource based on file - kubectl apply -f ' in context of MANAGING CLUSTER RESOURCES?,Change existing (or create) resource based on file - kubectl apply -f
What is meant by 'Delete existing resource - kubectl delete resource_type resource_name ' in context of MANAGING CLUSTER RESOURCES?,Delete existing resource - kubectl delete resource_type resource_name
What is meant by 'List resources of type - kubectl get resource_type ' in context of MANAGING CLUSTER RESOURCES?,List resources of type - kubectl get resource_type
What is meant by 'Execute command on the container - kubectl exec [-it] pod_name process_to_run' in context of DEBUGGING CLUSTER RESOURCES?,Execute command on the container - kubectl exec [-it] pod_name process_to_run
What is meant by 'Get container logs - kubectl logs pod_name [-c container_name]' in context of DEBUGGING CLUSTER RESOURCES?,Get container logs - kubectl logs pod_name [-c container_name]
What is meant by 'Forward port from a pod - kubectl port-forward pod_name local_port' in context of DEBUGGING CLUSTER RESOURCES?,Forward port from a pod - kubectl port-forward pod_name local_port:remote_port
What is meant by 'Print detailed description of a resource - kubectl describe resource_type ' in context of DEBUGGING CLUSTER RESOURCES?,Print detailed description of a resource - kubectl describe resource_type
What is meant by 'Replica Sets - Ensures desired number of pods exist by' in context of FEW RESOURCE OBJECTS IN K8S?,Replica Sets - Ensures desired number of pods exist by: scaling up or down and
What is meant by 'Deployment' in context of FEW RESOURCE OBJECTS IN K8S?,Deployment
What is meant by 'A Deployment provides declarative updates for Pods and ReplicaSets. You describe a desired ' in context of FEW RESOURCE OBJECTS IN K8S?,A Deployment provides declarative updates for Pods and ReplicaSets. You describe a desired
What is meant by 'Service' in context of FEW RESOURCE OBJECTS IN K8S?,Service
What is meant by 'A method for exposing a network application that is running as one or ' in context of FEW RESOURCE OBJECTS IN K8S?,A method for exposing a network application that is running as one or
What is meant by 'Defining a Pod' in context of DEMO?,Defining a Pod
What is meant by 'Creating a ReplicaSet' in context of DEMO?,Creating a ReplicaSet
What is meant by 'Creating a Deployment' in context of DEMO?,Creating a Deployment
What is meant by 'Creating a Service and exposing it' in context of DEMO?,Creating a Service and exposing it
What is meant by 'https' in context of REFERENCES?,https://docs.docker.com/get-started/overview/
What is meant by 'Docker Storage Drivers - https' in context of REFERENCES?,Docker Storage Drivers - https://docs.docker.com/storage/storagedriver/
What is meant by 'Docker Buildx - https' in context of REFERENCES?,Docker Buildx - https://docs.docker.com/buildx/working-with-buildx/
What is meant by 'Jiang Huan BuildKit timings - https' in context of REFERENCES?,Jiang Huan BuildKit timings - https://medium.com/titansoft-engineering/docker-build-cache-sharing-on-multi-hosts-with-
What is meant by 'STL - DevOps @ Sysco LABS - Sri Lanka' in context of About Me?,STL - DevOps @ Sysco LABS - Sri Lanka
What is meant by 'Certified Kubernetes Administrator (CKA)' in context of Professional?,Certified Kubernetes Administrator (CKA)
What is How can we?,"overcome these  issues? “DevOps is the combination of cultural philosophies, practices, and tools that  increases an organization’s ability to deliver applications and services at high  velocity” - What is DevOps? [AWS] - “A compound of development (Dev) and operations (Ops), DevOps is the union of  people, process, and technology to continually provide value to customers.”  - What is DevOps? [Azure] -"
What is DevOps allows evolving and improving products at a faster pace than businesses using traditional software?,development and infrastructure management processes. This speed allows businesses to serve their  customers better and compete effectively.
What is meant by 'Continuous Integration (CI) - Software development practice where developers regularly merge ' in context of Practices?,Continuous Integration (CI) - Software development practice where developers regularly merge
What is meant by 'Continuous Delivery (CD) - Software development practice where code changes are automatically ' in context of Practices?,Continuous Delivery (CD) - Software development practice where code changes are automatically
What is meant by 'Continuous Deployment (CD) - Every change that passes all stages of the pipeline will be ' in context of Practices?,Continuous Deployment (CD) - Every change that passes all stages of the pipeline will be
What is meant by 'Microservices - The microservices architecture is a design approach to build a single application ' in context of Practices?,Microservices - The microservices architecture is a design approach to build a single application
What is meant by 'Infrastructure as Code - A practice in which infrastructure is provisioned and managed using code ' in context of Practices?,Infrastructure as Code - A practice in which infrastructure is provisioned and managed using code
"What is meant by 'GitOps - builds on the concept of IaC, incorporating the functionality of Git repositories, merge ' in context of Practices?","GitOps - builds on the concept of IaC, incorporating the functionality of Git repositories, merge"
"What is meant by 'Cloud Infrastructure - Cloud provides more flexibility, scalability and toolsets for organizations to ' in context of Practices?","Cloud Infrastructure - Cloud provides more flexibility, scalability and toolsets for organizations to"
"What is meant by 'Continuous Monitoring, Logging and Alerting - Organizations monitor metrics and logs to see ' in context of Practices?","Continuous Monitoring, Logging and Alerting - Organizations monitor metrics and logs to see"
What is X (Twitter)?,https://www.linkedin.com/in/ravindufernando/
What is meant by 'Influential Concepts and Technologies' in context of Paving the Way for Microservices?,Influential Concepts and Technologies
What is meant by 'Domain-Driven Design' in context of Paving the Way for Microservices?,Domain-Driven Design: Emphasizing the importance of reflecting real-world complexities in our code
What is meant by 'Continuous Delivery' in context of Paving the Way for Microservices?,"Continuous Delivery: Revolutionizing software deployment, making every code check-in a potential"
What is meant by 'Web Communication Advancements' in context of Paving the Way for Microservices?,"Web Communication Advancements: Enhancing how machines interact, leading to more efficient and"
What is meant by 'Architectural Shifts' in context of Paving the Way for Microservices?,Architectural Shifts
What is meant by 'From Layered to Hexagonal' in context of Paving the Way for Microservices?,From Layered to Hexagonal: Moving away from traditional layered architectures to avoid hidden
What is meant by 'Embracing Virtualization' in context of Paving the Way for Microservices?,Embracing Virtualization: Utilizing on-demand provisioning and resizing of resources for greater
What is meant by 'Organizational Practices' in context of Paving the Way for Microservices?,Organizational Practices
What is meant by 'Small Autonomous Teams' in context of Paving the Way for Microservices?,"Small Autonomous Teams: Inspired by tech giants like Amazon and Google, promoting ownership and"
What is meant by 'Emergence from Real-World Use' in context of Microservices: A Natural Progression?,Emergence from Real-World Use: Microservices weren’t pre-planned
What is meant by 'Responding to Change' in context of Microservices: A Natural Progression?,Responding to Change: Offering the agility and flexibility to adapt to
What is meant by 'Basic Structure' in context of Monolithic Applications?,Basic Structure
What is meant by 'Single-Tiered Structure' in context of Monolithic Applications?,"Single-Tiered Structure: Built as a single, unified unit."
What is meant by 'Combined Modules' in context of Monolithic Applications?,"Combined Modules: Functional modules like UI, server logic, and database interactions are"
What is meant by 'Design and Construction' in context of Monolithic Applications?,Design and Construction
What is meant by 'Modular Architecture' in context of Monolithic Applications?,"Modular Architecture: Follows a modular structure within a single unit, aligning with object-"
What is meant by 'Programming Constructs' in context of Monolithic Applications?,"Programming Constructs: Defined using language-specific constructs (e.g., Java packages)."
What is meant by 'Build Artifacts' in context of Monolithic Applications?,"Build Artifacts: Built as a single artifact, such as a Java JAR file."
What is meant by 'Characteristics' in context of Monolithic Applications?,Characteristics
What is meant by 'Inter-module Dependencies' in context of Monolithic Applications?,Inter-module Dependencies: Modules are tightly coupled and interdependent.
What is meant by 'Unified Deployment' in context of Monolithic Applications?,Unified Deployment: Deployed as a single entity.
What is meant by 'Scalability' in context of Monolithic Applications?,Scalability
What is meant by 'Scalability Approach' in context of Monolithic Applications?,"Scalability Approach: Scaling involves replicating the entire application, not individual"
What is meant by 'Benefits of Monolithic Architecture' in context of Diagram of a monolithic ecommerce application with several modules using a combination of?,Benefits of Monolithic Architecture
What is meant by 'Simplified Testing' in context of Diagram of a monolithic ecommerce application with several modules using a combination of?,Simplified Testing: Tools like Selenium enable end-to-end testing of the entire application.
What is meant by 'Ease of Deployment' in context of Diagram of a monolithic ecommerce application with several modules using a combination of?,Ease of Deployment: Deployment involves simply copying the packaged application to a
What is meant by 'Resource Sharing' in context of Diagram of a monolithic ecommerce application with several modules using a combination of?,"Resource Sharing: All modules share memory, space, and resources, streamlining cross-"
What is meant by 'Intra-Process Communication' in context of Diagram of a monolithic ecommerce application with several modules using a combination of?,Intra-Process Communication: Direct module-to-module calls can offer performance
What is meant by 'Challenges of Monolithic Architecture' in context of Diagram of a monolithic ecommerce application with several modules using a combination of?,Challenges of Monolithic Architecture
What is meant by 'Scalability Issues' in context of Diagram of a monolithic ecommerce application with several modules using a combination of?,Scalability Issues: Difficulty in scaling when different modules have conflicting resource
What is meant by 'Complexity in Maintenance and Updates' in context of Diagram of a monolithic ecommerce application with several modules using a combination of?,"Complexity in Maintenance and Updates: As the application grows, implementing changes"
What is meant by 'CI/CD Complications' in context of Diagram of a monolithic ecommerce application with several modules using a combination of?,CI/CD Complications: Continuous integration and deployment become challenging as any
What is meant by 'Vulnerability to System Failures' in context of Diagram of a monolithic ecommerce application with several modules using a combination of?,"Vulnerability to System Failures: A bug in any module, like a memory leak, can crash the"
What is meant by 'Technological Rigidity' in context of Diagram of a monolithic ecommerce application with several modules using a combination of?,"Technological Rigidity: Adopting new frameworks or languages is costly and time-consuming,"
What is meant by 'Core Characteristics' in context of Understanding Microservices?,Core Characteristics
What is meant by 'Small and Focused' in context of Understanding Microservices?,"Small and Focused: Aimed at doing one thing well, avoiding sprawling"
What is meant by 'Cohesion and Single Responsibility' in context of Understanding Microservices?,Cohesion and Single Responsibility: Adhering to the principle of grouping
What is meant by 'Size and Scope' in context of Understanding Microservices?,Size and Scope
What is meant by 'No Fixed Size' in context of Understanding Microservices?,No Fixed Size: Size varies based on language expressiveness and domain
What is meant by 'Team Alignment' in context of Understanding Microservices?,Team Alignment: Ideally sized to be managed by a small team.
What is meant by 'Balance in Size' in context of Understanding Microservices?,Balance in Size: Smaller services maximize benefits but increase complexity.
What is meant by 'Autonomy' in context of Understanding Microservices?,Autonomy
What is meant by 'Independent Entities' in context of Understanding Microservices?,"Independent Entities: Deployed separately, can be different technologies, possibly as isolated"
What is meant by 'Network Communication' in context of Understanding Microservices?,"Network Communication: Services communicate via network calls, ensuring separation and"
What is meant by 'Deployment and Change Management' in context of Understanding Microservices?,Deployment and Change Management
What is meant by 'Independent Deployment' in context of Understanding Microservices?,Independent Deployment: Services can be deployed independently without impacting
What is meant by 'API-Centric Interaction' in context of Understanding Microservices?,"API-Centric Interaction: Services expose APIs for interaction, emphasizing decoupled,"
What is meant by 'Decoupling' in context of Understanding Microservices?,Decoupling
What is meant by 'Key to Microservices' in context of Understanding Microservices?,Key to Microservices: Essential for maintaining independence and achieving the benefits of
What is meant by 'Database Relationship' in context of Diagram of an ecommerce application with functional areas implemented by microservices.?,Database Relationship
What is meant by 'Service-Specific Databases' in context of Diagram of an ecommerce application with functional areas implemented by microservices.?,Service-Specific Databases: Each microservice has its own database tailored
What is meant by 'Loose Coupling' in context of Diagram of an ecommerce application with functional areas implemented by microservices.?,Loose Coupling: This approach ensures loose coupling by routing data
What is meant by 'Independent Data Management' in context of Diagram of an ecommerce application with functional areas implemented by microservices.?,Independent Data Management: Each service manages its data
What is Enhanced Development and Maintenance?,"- Breaks application into smaller, manageable chunks. - Clear boundaries with defined APIs. - Quicker development, easier understanding and maintenance."
What is Team Autonomy and Efficiency?,- Independent development of services by teams. - Full lifecycle ownership of services. - Flexibility to use different programming languages (Polyglot Development).
What is Responsiveness?,- Independent scaling based on service needs. - Hardware optimization for resource requirements. - Faster product delivery and improved time to market.
What is Complexity in Distributed Systems?,- Necessity of choosing and implementing inter-service communication mechanisms. - Managing partial failures and service unavailability.
What is Services?,- Handling atomic operations across multiple microservices (Distributed Transactions). - Maintaining data consistency during failures (Consistency Issues).
What is Testing and Deployment Complexities?,- Requirement for comprehensive testing across multiple services. - Complexities in managing multiple service deployments and service discovery.
What is Operational Overhead?,- Increased need for monitoring and alerting across more services. - Higher risk of failure due to more points of service-to-service communication. - Challenges in productionizing and maintaining robust operations infrastructure.
What is Considerations?,"- Potential latency issues due to network calls between services. - Not suitable for all types of applications, especially those requiring real-time data processing. - Importance of clear communication and service boundary planning."
What is Assessing the Need for Migration?,- Evaluate if microservices align with business goals and pain points. - Consider simpler alternatives like autoscaling or enhanced testing.
What is Starting the Migration Process?,"- Begin with extracting and deploying one service independently. - Adopt an iterative approach, learning and adapting with each service migration."
What is Strategic Implementation?,- Recognize varying approaches to microservice size and quantity among teams. - Emphasize continuous learning and strategy refinement.
What is Future Learning and Strategies?,- Explore strategies for detailed refactoring from monolithic to microservices. - Plan for ongoing education and adaptation of methods.
What is meant by 'A framework that outlines how security responsibilities are divided ' in context of Shared Responsibility Model in Public Cloud?,A framework that outlines how security responsibilities are divided
What is meant by 'Security and compliance is a shared responsibility between AWS and the ' in context of Shared Responsibility Model in Public Cloud?,Security and compliance is a shared responsibility between AWS and the
"What is meant by 'Customer Responsibility' in context of Cloud."" CSP is in charge of the infrastructure, including hardware,?","Customer Responsibility: Termed ""Security in the Cloud."" Customers"
What is meant by 'Service/ Delivery Models' in context of Key aspects of Shared Responsibility Model?,Service/ Delivery Models: Responsibilities vary depending on
What is meant by 'IT Controls' in context of Key aspects of Shared Responsibility Model?,IT Controls: Shared management of IT controls between CSP and
What is meant by 'Inherited Controls' in context of Control types in Shared Responsibility Model?,"Inherited Controls: Controls fully managed by CSP (e.g., physical and"
What is meant by 'Shared Controls' in context of Control types in Shared Responsibility Model?,Shared Controls: Controls that apply to both CSP and customers but in
What is meant by 'Patch Management – CSP is responsible for patching and fixing flaws within the ' in context of Control types in Shared Responsibility Model?,Patch Management – CSP is responsible for patching and fixing flaws within the
What is meant by 'Configuration Management – CSP maintains the configuration of its infrastructure ' in context of Control types in Shared Responsibility Model?,Configuration Management – CSP maintains the configuration of its infrastructure
"What is meant by 'Awareness & Training - CSP trains CSP’s employees, but a customer must train their ' in context of Control types in Shared Responsibility Model?","Awareness & Training - CSP trains CSP’s employees, but a customer must train their"
What is meant by 'Customer Specific Controls' in context of Control types in Shared Responsibility Model?,"Customer Specific Controls: Controls solely managed by the customer,"
What is meant by 'Application to Use Case' in context of Responsibility Model and its general application in cloud operations.?,Application to Use Case: Determine the model's relevance to their specific
What is meant by 'Variability in Responsibility' in context of Responsibility Model and its general application in cloud operations.?,Variability in Responsibility: Customer responsibility changes based on:
What is meant by 'How these services integrate into their IT environment.' in context of AWS region)?,How these services integrate into their IT environment.
What is meant by 'Legal and Regulatory Considerations' in context of AWS region)?,Legal and Regulatory Considerations: Consideration of laws and regulations
What is meant by 'Horizontal scaling' in context of Scalability in Cloud?,Horizontal scaling
What is meant by 'The allocating or releasing of IT resources that are of the same type' in context of Scalability in Cloud?,The allocating or releasing of IT resources that are of the same type
What is meant by 'Scaling in and out' in context of Scalability in Cloud?,Scaling in and out
What is meant by 'Vertical scaling' in context of Scalability in Cloud?,Vertical scaling
What is meant by 'Existing IT resource is replaced by another with higher or lower capacity' in context of Scalability in Cloud?,Existing IT resource is replaced by another with higher or lower capacity
What is meant by 'Reactive scaling' in context of Suited for applications with fixed or known peaks.?,Reactive scaling
"What is meant by 'Once something (e.g., workload) happen' in context of Suited for applications with fixed or known peaks.?","Once something (e.g., workload) happen"
What is meant by 'Proactive scaling' in context of Suited for applications with fixed or known peaks.?,Proactive scaling
What is meant by 'Rules' in context of Based on?,Rules
What is meant by 'Spawn a new VM if ave. CPU util. > 80%' in context of Based on?,Spawn a new VM if ave. CPU util. > 80%
What is meant by 'Models based on QoS/SLA targets' in context of Based on?,Models based on QoS/SLA targets
What is Can cloud consumer guarantee the authentication of an interaction and no?,other party can deny or challenge that.
What is In cloud the availability of cloud services can be a responsibility that is shared?,by the cloud provider and the cloud carrier. The availability of a cloud-based  solution that extends to cloud service consumers is further shared by the  cloud consumer.
What is Non-trusted cloud service consumer without permissions in the cloud. Attempts attacks?,"from outside cloud permission boundary, mostly using public networks."
What is Able to intercept and forward the network traffic that flows within a cloud. Then to?,maliciously use and augment the data.
What is Shares IT resources in the same cloud environment as the cloud consumer and attempts?,to exploit legitimate credentials to target cloud providers and the cloud tenants.
What is Human threat agents acting on behalf of or in relation to the cloud provider. Typically?,current or former employees or third parties with access to the cloud provider’s premises.
What is Data transferred to or within a cloud is passively intercepted by a?,malicious service agent for information gathering purposes. •
What is The workload on cloud services is artificially increased with imitation messages or?,repeated communication requests. •
"What is Multiple cloud service requests are sent, each of which is designed to consume?",excessive memory and processing resources.
What is Occurs when access is granted to an attacker erroneously or too broadly?,to IT resources that are normally protected. •
What is Result of the attacker gaining direct access to IT resources that were implemented to?,be accessed by trusted consumer programs.
What is Exploits vulnerabilities in the virtualization platform to jeopardize its?,"confidentiality, integrity, and/or availability."
What is Secret key based encryption mechanisms to counter traffic?,"eavesdropping, malicious intermediary, insufficient authorization, and  overlapping trust boundaries security threats."
"What is meant by 'private key is known only to its owner while the public key is commonly available' in context of Relies on the use of two different keys, private key and a public key?",private key is known only to its owner while the public key is commonly available
What is meant by 'IAM encompasses controlling and tracking user identities and access in IT ' in context of Identity Access Management (IAM)?,IAM encompasses controlling and tracking user identities and access in IT
What is meant by 'Authentication' in context of Identity Access Management (IAM)?,"Authentication: Manages credentials like usernames, passwords, digital signatures,"
What is meant by 'Authorization' in context of Identity Access Management (IAM)?,Authorization: Defines access control levels and manages relationships between
What is meant by 'User Management' in context of Identity Access Management (IAM)?,"User Management: Involves administrative tasks like creating user accounts,"
What is meant by 'Credential Management' in context of Identity Access Management (IAM)?,Credential Management: Establishes and manages access rules for user accounts to
What is meant by 'At the end of the lesson students ' in context of Lesson Objectives?,At the end of the lesson students
What is meant by 'What is Machine Learning?' in context of Lesson Objectives?,What is Machine Learning?
What is meant by 'Why Choose Machine Learning?' in context of Lesson Objectives?,Why Choose Machine Learning?
What is meant by 'Optimization is the mathematical ' in context of Optimization??,Optimization is the mathematical
"What is meant by '"" It is the science and ' in context of Intelligence?",""" It is the science and"
What is meant by '“field of study that gives computers the ability to learn ' in context of What is Machine Learning?,“field of study that gives computers the ability to learn
"What is meant by 'Machine learning is a subfield of artificial intelligence, ' in context of What is Machine Learning?","Machine learning is a subfield of artificial intelligence,"
What is meant by '“A computer program is said to learn ' in context of Machine?,“A computer program is said to learn
What is meant by 'Based on pre-defined Rules' in context of MYCIN?,Based on pre-defined Rules
What is meant by 'Rules defined based on domain knowledge' in context of MYCIN?,Rules defined based on domain knowledge
What is meant by 'Designed to mimic the decision-making ' in context of MYCIN?,Designed to mimic the decision-making
What is meant by 'Breadth-First Search' in context of Search Algorithms?,Breadth-First Search
What is meant by 'Depth First Search' in context of Search Algorithms?,Depth First Search
What is meant by 'Iterative Deepening Search' in context of Search Algorithms?,Iterative Deepening Search
What is meant by 'Uniform Cost Search' in context of Search Algorithms?,Uniform Cost Search
What is meant by 'Evolutionary Algorithms are a family of nature-inspired ' in context of Evolutionary Algorithms?,Evolutionary Algorithms are a family of nature-inspired
What is Initialize a population?,of potential solutions  randomly.
What is Recombine (crossover)?,and mutate them to  create new individuals.
What is A Genetic Algorithm (GA) is a search and?,optimization method inspired by how living  things evolve over time through natural  selection.  •
"What is Inspired by: Collective behavior of decentralized, self-?","organized systems (e.g., birds, ants, fish)"
What is meant by 'Inspired by ants finding shortest paths using ' in context of Ant Colony Optimization (ACO)?,Inspired by ants finding shortest paths using
What is meant by 'Fireflies are attracted to brighter (better) ' in context of Firefly Algorithm (FA)?,Fireflies are attracted to brighter (better)
What is meant by 'Learned under supervision.' in context of Supervised Learning Algorithms?,Learned under supervision.
What is meant by 'Supervision of what?' in context of Supervised Learning Algorithms?,Supervision of what?
What is meant by 'Humans?' in context of Supervised Learning Algorithms?,Humans?
What is meant by 'Supervised by the Labeled data' in context of Supervised Learning Algorithms?,Supervised by the Labeled data
"What is meant by 'Require labeled data. (Inputs, output)' in context of Supervised Learning Algorithms?","Require labeled data. (Inputs, output)"
What is meant by 'Regression' in context of Types of Supervised Learning Models?,Regression
What is meant by 'Predicting a Linear ' in context of Types of Supervised Learning Models?,Predicting a Linear
What is meant by 'Linear Regression' in context of Types of Supervised Learning Models?,Linear Regression
What is meant by 'SVR' in context of Types of Supervised Learning Models?,SVR
What is meant by 'DT' in context of Types of Supervised Learning Models?,DT
What is meant by 'Classification' in context of Types of Supervised Learning Models?,Classification
What is meant by 'Predicting a ' in context of Types of Supervised Learning Models?,Predicting a
What is meant by 'Logistic Regression' in context of Types of Supervised Learning Models?,Logistic Regression
What is meant by 'SVM' in context of Types of Supervised Learning Models?,SVM
What is meant by 'NB' in context of Types of Supervised Learning Models?,NB
What is A Bank may have borrower details?,"(age, income, gender, etc.) of the  past (features)"
What is Learns the relationship as a linear equation:?,y = mx + c. • What is learnt through training:
What is meant by 'Example Use Cases' in context of Finds the best slope (m) and intercept (c) to?,Example Use Cases:
What is meant by 'Predicting house prices' in context of Finds the best slope (m) and intercept (c) to?,Predicting house prices
What is meant by 'Salary estimation' in context of Finds the best slope (m) and intercept (c) to?,Salary estimation
What is meant by 'Sales forecasting' in context of Finds the best slope (m) and intercept (c) to?,Sales forecasting
What is meant by 'Limitations' in context of Finds the best slope (m) and intercept (c) to?,Limitations:
What is meant by 'Only works well when the relationship is linear' in context of Finds the best slope (m) and intercept (c) to?,Only works well when the relationship is linear
"What is meant by 'Not suitable for complex, non-linear patterns' in context of Finds the best slope (m) and intercept (c) to?","Not suitable for complex, non-linear patterns"
What is meant by 'Clustering Algorithms' in context of Learning Algorithms?,Clustering Algorithms
What is meant by 'K Means' in context of Learning Algorithms?,K Means
What is meant by 'DBSCAN' in context of Learning Algorithms?,DBSCAN
What is meant by 'Dimensionality Reduction Algorithms' in context of Learning Algorithms?,Dimensionality Reduction Algorithms
What is meant by 'PCA' in context of Learning Algorithms?,PCA
What is meant by 'MDS (Multidimensional Scaling)' in context of Learning Algorithms?,MDS (Multidimensional Scaling)
What is meant by 'LDA (Linear Discriminant Analysis)' in context of Learning Algorithms?,LDA (Linear Discriminant Analysis)
"What is Algorithms - Self Training, Generative models?","•Semi-Supervised Support Vector Machines, etc."
What is meant by 'Generative Adversarial Networks' in context of Algorithms?,Generative Adversarial Networks
What is meant by 'Auto-encoders' in context of Algorithms?,Auto-encoders
"What is meant by 'Often, multiple classifiers need to be combined to ' in context of Ensemble Learning?","Often, multiple classifiers need to be combined to"
What is Learns by interacting with an environment and?,receiving feedback (rewards or penalties). •
What is Uses trial-and-error and reward maximization to?,improve decision-making over time. •
What is Can use reinforcement learning where achieving the?,goal/getting closer to the goal gives a positive reward.
What is Not all models are created?,equal — and neither are the  ways we evaluate them.
"What is meant by 'If there’s an algorithmic way instead of ML, use it!!! (ML is' in context of Algorithm?","If there’s an algorithmic way instead of ML, use it!!! (ML is"
What is meant by 'Refer the literature!!!' in context of Algorithm?,Refer the literature!!!
What is meant by 'Try different ML algorithms (no single algorithm is the best)' in context of Algorithm?,Try different ML algorithms (no single algorithm is the best)
